pattern_id,name,description,pattern_type,conditions,support,matching_transaction_count,loss_count,loss_rate,baseline_loss_rate,risk_multiplier,lift,p_value,confidence_interval,exposure_amount,average_loss_amount,discovery_method,is_predefined,stability_score,status
PTN_1,Pattern 1,Transactions where webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,temporal_webhook_latency_bucket==ELEVATED,0.036125,289,192,0.6643598615916955,0.028625,23.2090781342077,23.2090781342077,3.8358365541311416e-271,,57926041.0,301698.1302083333,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_2,Pattern 2,Transactions where gateway is G2 and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,atomic_gateway==G2 AND temporal_webhook_latency_bucket==ELEVATED,0.018125,145,107,0.7379310344827587,0.028625,25.7792501129348,25.7792501129348,1.1359043625257675e-143,,35288149.0,329795.78504672897,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_3,Pattern 3,Transactions where financial_amount_band is HIGH and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,financial_amount_band==HIGH AND temporal_webhook_latency_bucket==ELEVATED,0.02625,210,142,0.6761904761904762,0.028625,23.622374714077772,23.622374714077772,2.419880422154809e-188,,51078873.0,359710.3732394366,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_4,Pattern 4,Transactions where gateway is G2 and payment_method is UPI and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,atomic_gateway==G2 AND atomic_payment_method==UPI AND temporal_webhook_latency_bucket==ELEVATED,0.012125,97,71,0.7319587628865979,0.028625,25.570611803898615,25.570611803898615,3.158310128152329e-92,,22277105.0,313762.04225352115,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_5,Pattern 5,Transactions where payment_method is UPI and financial_amount_band is HIGH and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,atomic_payment_method==UPI AND financial_amount_band==HIGH AND temporal_webhook_latency_bucket==ELEVATED,0.02025,162,106,0.654320987654321,0.028625,22.858375114561433,22.858375114561433,6.5843136047174715e-133,,38067829.0,359130.46226415096,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_6,Pattern 6,Transactions where payment_method is UPI and financial_has_chargeback is False and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,atomic_payment_method==UPI AND financial_has_chargeback==False AND temporal_webhook_latency_bucket==ELEVATED,0.026,208,123,0.5913461538461539,0.028625,20.658380920389654,20.658380920389654,1.4039739771476444e-148,,32609861.0,265120.8211382114,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_7,Pattern 7,Transactions where financial_amount_band is HIGH and retry_speed_bucket is SLOW and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,financial_amount_band==HIGH AND temporal_retry_speed_bucket==SLOW AND temporal_webhook_latency_bucket==ELEVATED,0.01325,106,63,0.5943396226415094,0.028625,20.762956249485043,20.762956249485043,2.3806942957198053e-72,,22168830.0,351886.1904761905,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_8,Pattern 8,Transactions where gateway is G1 and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,atomic_gateway==G1 AND temporal_webhook_latency_bucket==ELEVATED,0.01,80,49,0.6125,0.028625,21.397379912663755,21.397379912663755,7.774406013862317e-57,,13990127.0,285512.79591836734,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_9,Pattern 9,Transactions where financial_amount_band is HIGH and financial_has_chargeback is False and webhook_latency_bucket is ELEVATED show a substantially elevated loss rate.,ASSOCIATION,financial_amount_band==HIGH AND financial_has_chargeback==False AND temporal_webhook_latency_bucket==ELEVATED,0.017625,141,73,0.5177304964539007,0.028625,18.08665489795286,18.08665489795286,3.345137541869699e-78,,25762693.0,352913.602739726,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
PTN_10,Pattern 10,Transactions where retry_speed_bucket is FAST show a substantially elevated loss rate.,ASSOCIATION,temporal_retry_speed_bucket==FAST,0.012375,99,53,0.5353535353535354,0.028625,18.702306911913897,18.702306911913897,3.991359553519975e-57,,19262211.0,363437.9433962264,Association Mining + Fisher's Exact Test,False,0.0,EMERGENT
